task,estimator,in_distribution,test_accuracy,test_accuracy_clopper_pearson_95%_interval
Sepsis,LightGBM,True,0.9880239520958084,"(0.9874343742156969, 0.9885803362177012)"
Sepsis,MLP,True,0.988010378649635,"(0.9874270789389542, 0.9885733754529265)"
Sepsis,NODE,True,0.9880032504562044,"(0.9874197837137306, 0.9885664146365877)"
Sepsis,ResNet,True,0.9880032504562044,"(0.9874197837137306, 0.9885664146365877)"
Sepsis,SAINT,True,0.9880032504562044,"(0.9874197837137306, 0.9885664146365877)"
Sepsis,TabTransformer,True,0.9880032504562044,"(0.9874197837137306, 0.9885664146365877)"
Sepsis,XGBoost,True,0.9880032504562044,"(0.9874197837137306, 0.9885664146365877)"
Sepsis,CORAL,True,,
Sepsis,DANN,True,,
Sepsis,Group DRO,True,,
Sepsis,IRM,True,,
Sepsis,MMD,True,,
Sepsis,MixUp,True,,
Sepsis,VREX,True,,
Voting,Adv. Label DRO,False,0.8524531024531025,"(0.838698832404332, 0.8654585116621867)"
Voting,CatBoost,False,0.8553391053391053,"(0.8416892383552828, 0.8682338708317991)"
Voting,DRO,False,0.8528138528138528,"(0.8390725375380431, 0.8658055274562433)"
Voting,FT-Transformer,False,0.8546176046176046,"(0.8409414721265186, 0.8675401962786584)"
Voting,Label Group DRO,False,0.8387445887445888,"(0.8245173872082124, 0.8522525059312474)"
Voting,LightGBM,False,0.854978354978355,"(0.8413153414138246, 0.8678870474244202)"
Voting,MLP,False,0.8603896103896104,"(0.8469267482242387, 0.8730864367025534)"
Voting,NODE,False,0.8513708513708513,"(0.8375778790880468, 0.8644173017128545)"
Voting,ResNet,False,0.8358585858585859,"(0.8215364154180836, 0.8494676859468973)"
Voting,SAINT,False,0.8582251082251082,"(0.8446814198380346, 0.8710074490440426)"
Voting,TabTransformer,False,0.8589466089466089,"(0.8454297478778879, 0.8717005600481386)"
Voting,XGBoost,False,0.8513708513708513,"(0.8375778790880468, 0.8644173017128545)"
Voting,CORAL,False,0.8455988455988456,"(0.8316034871263244, 0.8588601445131938)"
Voting,DANN,False,0.8517316017316018,"(0.8379515032607326, 0.8647643987086095)"
Voting,Group DRO,False,0.8524531024531025,"(0.838698832404332, 0.8654585116621867)"
Voting,IRM,False,0.7582972582972582,"(0.7419118944318154, 0.7741354677359558)"
Voting,MMD,False,0.8488455988455988,"(0.8349632565234137, 0.8619868739053351)"
Voting,MixUp,False,0.851010101010101,"(0.8372042817403899, 0.8640701778128085)"
Voting,VREX,False,0.753968253968254,"(0.7374914686760161, 0.7699071021181729)"
ASSISTments,Adv. Label DRO,False,,
ASSISTments,CatBoost,False,0.5844700944386149,"(0.561967539906632, 0.6067122955701683)"
ASSISTments,DRO,False,0.583420776495278,"(0.560911827534833, 0.6056726076827481)"
ASSISTments,FT-Transformer,False,0.5918153200419727,"(0.5693604193255581, 0.6139872163621687)"
ASSISTments,Label Group DRO,False,0.5739769150052466,"(0.551415037091481, 0.5963107934170807)"
ASSISTments,LightGBM,False,0.5911237016052879,"(0.5683039829286909, 0.6129482529063544)"
ASSISTments,MLP,False,0.583420776495278,"(0.560911827534833, 0.6056726076827481)"
ASSISTments,NODE,False,0.583420776495278,"(0.560911827534833, 0.6056726076827481)"
ASSISTments,ResNet,False,0.583420776495278,"(0.560911827534833, 0.6056726076827481)"
ASSISTments,SAINT,False,0.5844700944386149,"(0.561967539906632, 0.6067122955701683)"
ASSISTments,TabTransformer,False,0.5514165792235047,"(0.5287615981582041, 0.5739131063863127)"
ASSISTments,XGBoost,False,0.5911237016052879,"(0.5683039829286909, 0.6129482529063544)"
ASSISTments,CORAL,False,,
ASSISTments,DANN,False,,
ASSISTments,Group DRO,False,,
ASSISTments,IRM,False,,
ASSISTments,MMD,False,,
ASSISTments,MixUp,False,,
ASSISTments,VREX,False,,
College Scorecard,Adv. Label DRO,False,0.8261834319526628,"(0.8049113620380695, 0.8460268926106337)"
College Scorecard,CatBoost,False,0.8846153846153846,"(0.8663740242407572, 0.9011649636295572)"
College Scorecard,DRO,False,0.8616863905325444,"(0.84212822886256, 0.8796568642352586)"
College Scorecard,FT-Transformer,False,0.8587278106508875,"(0.8390128894719507, 0.8768683831234115)"
College Scorecard,Label Group DRO,False,0.8173076923076923,"(0.7956584667998435, 0.8375678048014847)"
College Scorecard,LightGBM,False,0.8216899534264804,"(0.7995115793308644, 0.84109469596736)"
College Scorecard,MLP,False,0.8454142011834319,"(0.825026826666725, 0.8642870484451998)"
College Scorecard,NODE,False,0.8439349112426036,"(0.8234759882941622, 0.8628859349940218)"
